Formations,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11
3-1-4-2,GK,CB,CB,CB,CDM,LM,CM,CM,RM,ST,ST
3-4-1-2,GK,CB,CB,CB,LM,CM,CM,RM,CAM,ST,ST
3-4-2-1,GK,CB,CB,CB,LM,CM,CM,RM,CF,CF,ST
3-4-3,GK,CB,CB,CB,LM,CM,CM,RM,LW,ST,RW
3-5-2,GK,CB,CB,CB,CDM,CDM,LM,RM,CAM,ST,ST
4-1-2-1-2,GK,LB,CB,CB,RB,CDM,LM,RM,CAM,ST,ST
4-1-2-1-2 (2),GK,LB,CB,CB,RB,CDM,CM,CM,CAM,ST,ST
4-1-3-2,GK,LB,CB,CB,RB,CDM,CM,LM,RM,ST,ST
4-1-4-1,GK,LB,CB,CB,RB,CDM,LM,CM,CM,RM,ST
4-2-3-1,GK,LB,CB,CB,RB,CDM,CDM,CAM,CAM,CAM,ST
4-2-3-1 (2),GK,LB,CB,CB,RB,CDM,CDM,LM,RM,CAM,ST
4-2-2-2,GK,LB,CB,CB,RB,CDM,CDM,CAM,CAM,ST,ST
4-2-4,GK,LB,CB,CB,RB,CM,CM,LW,ST,ST,RW
4-3-1-2,GK,LB,CB,CB,RB,CM,CM,CM,CAM,ST,ST
4-3-2-1,GK,LB,CB,CB,RB,CM,CM,CM,CF,CF,ST
4-3-3,GK,LB,CB,CB,RB,CM,CM,CM,LW,ST,RW
4-3-3 (2),GK,LB,CB,CB,RB,CDM,CM,CM,LW,ST,RW
4-3-3 (3),GK,LB,CB,CB,RB,CDM,CDM,CM,LW,ST,RW
4-3-3 (4),GK,LB,CB,CB,RB,CM,CM,CAM,LW,ST,RW
4-3-3 (5),GK,LB,CB,CB,RB,CDM,CM,CM,CF,LW,RW
4-4-1-1,GK,LB,CB,CB,RB,LM,CM,CM,RM,CF,ST
4-4-1-1 (2),GK,LB,CB,CB,RB,LM,CM,CM,RM,CAM,ST
4-4-2,GK,LB,CB,CB,RB,LM,CM,CM,RM,ST,ST
4-4-2 (2),GK,LB,CB,CB,RB,CDM,CDM,LM,RM,ST,ST
4-5-1,GK,LB,CB,CB,RB,LM,CM,RM,CAM,CAM,ST
4-5-1 (2),GK,LB,CB,CB,RB,LM,CM,CM,CM,RM,ST
5-2-1-2,GK,CB,CB,CB,LWB,RWB,CM,CM,CAM,ST,ST
5-2-2-1,GK,CB,CB,CB,LWB,RWB,CM,CM,LW,ST,RW
5-1-2-2,GK,CB,CB,CB,LWB,RWB,CDM,CM,CM,ST,ST
5-4-1,GK,CB,CB,CB,LWB,RWB,LM,CM,CM,RM,ST
